"Informazioni cronologiche","Qual è il tuo sesso?","Qual è la tua etá in questo momento?","Qual è la tua provincia di residenza? (Esprimi la tua risposta selezionando la cittá presente tra le 12 province Lombarde).","Sei un fumatore?","Nel caso di una precedente risposta positiva (si, fumo quotidianamente), esprimi ora il numero di sigarette fumate ogni giorno:","Qual è il tuo principale mezzo di trasposto?","Quante volte usi la macchina (o un personale mezzo di trasporto a motore) durante l'arco della settimana?","Quanti Km percorri con la macchina (o il tuo mezzo di trasporto a motore) ogni settimana?","Quanti metri quadrati è grande la tua abitazione? (Esprimi la risposta solo in numeri, esempio: 105)","Quale tipo di impianto di riscaldamento utilizzi all'interno della tua abitazione?","Durante i mesi freddi, a che temperatura tendi ad impostare il tuo impianto di riscaldamento?","Possiedi un camino o una stufa a legna?","Se hai votato si all'ultima domanda, quante volte lo utilizzi durante l'arco di un anno?","In media, quanti voli effettui durante l'anno? (ogni volo conta come 1, quindi i voli composti da ''Andata + Ritorno'' valgono come 2). Scrivi la risposta solo in numero:","Quanti acquisti on-line effettui ogni mese? (Selezionare una delle possibili risposte in base agli acquisti di beni materiali effettuati Online, escludendo le spese alimentari)","Quanti acquisti non on-line effettui ogni mese? (Selezionare una delle possibili risposte in base agli acquisti di beni materiali effettuati Non-Online, escludendo le spese alimentari)","Quante volte alla settimana mangi cibi contenenti carne (o a base di carne)?"
"2022/02/21 10:47:55 PM CET","Donna","18 - 24","Milano","Si, fumo quotidianamente","Da 1 a 5 sigarette ogni giorno.","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","","","40 m2","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","6 voli ","Da 1 a 5 prodotti","Da 6 a 10 prodotti","3/4 volte"
"2022/02/21 10:48:41 PM CET","Uomo","25 - 30","Milano","Si, fumo quotidianamente","Da 1 a 5 sigarette ogni giorno.","Automobile a motore","3 /4 volte","Da 51 a 100","120","Riscaldamento tradizionale (a pavimento)","20/21 gradi","No","","8","Da 1 a 5 prodotti","Da 1 a 5 prodotti","Tutti i giorni"
"2022/02/22 2:51:57 PM CET","Donna","18 - 24","Pavia","Si, fumo quotidianamente","Da 1 a 5 sigarette ogni giorno.","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","","","35","Riscaldamento tradizionale (termosifoni)","22/23 gradi","No","","4","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 2:54:21 PM CET","Uomo","25 - 30","Milano","No, mai","","Automobile a motore","8 / 14 volte","Da 101 a 200","105","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","2","Da 11 a 15 prodotti","Da 1 a 5 prodotti","Tutti i giorni"
"2022/02/22 2:54:45 PM CET","Uomo","18 - 24","Milano","Si, fumo quotidianamente","Da 6 a 10 sigarette ogni giorno.","Automobile a motore","5/7 volte","Da 51 a 100","-","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","Tutti i giorni"
"2022/02/22 2:55:18 PM CET","Uomo","18 - 24","Milano","No, mai","","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","","","160","Riscaldamento tradizionale (termosifoni)","20/21 gradi","No","","4","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 2:59:46 PM CET","Donna","25 - 30","Milano","Raramente (indicativamente 3/5 sigarette al mese)","","Mezzo di trasporto pubblico (Bus, tram, metro, treno)","3 /4 volte","Da 1 a 50","30","Riscaldamento tradizionale (termosifoni)","22/23 gradi","No","","10","Da 6 a 10 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 3:03:12 PM CET","Uomo","18 - 24","Milano","No, mai","","Automobile a motore","8 / 14 volte","Da 1 a 50","150","Riscaldamento tradizionale (termosifoni)","18/19 gradi","Si","Da 1 a 20 volte","2","Da 1 a 5 prodotti","Da 1 a 5 prodotti","Tutti i giorni"
"2022/02/22 3:08:45 PM CET","Uomo","18 - 24","Milano","Raramente (indicativamente 3/5 sigarette al mese)","","Automobile a motore","8 / 14 volte","Da 51 a 100","144","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","4","Da 1 a 5 prodotti","Da 6 a 10 prodotti","3/4 volte"
"2022/02/22 3:10:17 PM CET","Donna","Piú di 50","Milano","No, mai","","Bicicletta","1 / 2 volte","Da 1 a 50","100","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","Zero","Da 6 a 10 prodotti","Da 1 a 5 prodotti","1/2 volte"
"2022/02/22 3:10:40 PM CET","Uomo","25 - 30","Milano","Occasionalmente (indicativamente 3/5 sigarette a settimana)","","Automobile a motore","5/7 volte","Da 1 a 50","110","Stufa a pellet","20/21 gradi","Si","Piú di 60 volte","0","Da 1 a 5 prodotti","Da 1 a 5 prodotti","3/4 volte"
"2022/02/22 3:14:09 PM CET","Uomo","18 - 24","Milano","No, mai","","Automobile a motore","Piú di 15 volte","Da 101 a 200","300","Riscaldamento tradizionale (termosifoni)","22/23 gradi","Si","Piú di 60 volte","2","Da 6 a 10 prodotti","Da 11 a 15 prodotti","Tutti i giorni"
"2022/02/22 3:16:51 PM CET","Uomo","31 - 40","Varese","No, mai","","Automobile a motore","8 / 14 volte","Da 201 a 500","60","Riscaldamento tradizionale (termosifoni)","18/19 gradi","No","","2","Da 11 a 15 prodotti","Da 6 a 10 prodotti","3/4 volte"
"2022/02/22 3:20:20 PM CET","Donna","18 - 24","Milano","No, mai","","Automobile a motore","5/7 volte","Da 1 a 50","120","Riscaldamento tradizionale (termosifoni)","20/21 gradi","Si","Da 1 a 20 volte","4","Da 1 a 5 prodotti","Da 1 a 5 prodotti","1/2 volte"
