User,User_Gender,User_Age,Final_traffic_index,Final_heating_index,Final_others_index,Overall_Index
1,Woman,18 - 24,-0.72,-2.4,0.25,-2.88
2,Man,25 - 30,-0.11,-1.6,0.45,-1.26
3,Woman,18 - 24,-0.72,-0.48,0.01,-1.19
4,Man,25 - 30,0.28,-1.71,0.59,-0.84
5,Man,18 - 24,-0.02,-0.53,0.37,-0.19
6,Man,18 - 24,-0.72,-0.14,-0.34,-1.2
7,Woman,25 - 30,-0.56,-0.53,0.36,-0.73
8,Man,18 - 24,0.14,0.86,0.06,1.05
9,Man,18 - 24,0.19,-1.3,0.02,-1.1
10,Woman,51 - 60,-0.72,-1.77,-0.23,-2.71
11,Man,25 - 30,-0.07,4.28,-0.28,3.93
12,Man,18 - 24,0.35,6.24,0.64,7.24
13,Man,31 - 40,0.58,-2.19,0.47,-1.15
14,Woman,18 - 24,-0.07,1.53,-0.34,1.13
15,Woman,51 - 60,-0.02,0.97,-0.41,0.54
16,Man,25 - 30,0.35,1.57,0.25,2.17
17,Woman,51 - 60,0.28,-1.6,0.01,-1.31
18,Woman,41 - 50,0.64,1.75,-0.06,2.32
19,Woman,18 - 24,-0.16,1.39,-0.03,1.21
20,Man,25 - 30,0.7,-1.45,0.37,-0.39
21,Woman,18 - 24,-0.07,1.11,-0.41,0.63
22,Man,18 - 24,0.08,2.52,0.24,2.84
23,Man,18 - 24,-0.16,0.39,-0.45,-0.23
24,Woman,25 - 30,-0.62,-1.75,-0.29,-2.66
25,Man,25 - 30,0.28,-1.6,0.09,-1.23
26,Man,25 - 30,0.76,-1.15,0.16,-0.23
27,Man,18 - 24,-0.07,0.65,-0.23,0.36
28,Woman,51 - 60,-0.11,-1.82,-0.45,-2.38
29,Woman,25 - 30,0.25,-0.38,0.28,0.15
30,Man,25 - 30,0.08,6.27,0.61,6.96
31,Man,25 - 30,0.08,-1.34,0.96,-0.3
32,Woman,25 - 30,0.28,-0.83,0.94,0.4
33,Man,18 - 24,0.76,0.13,0.01,0.9
34,Woman,25 - 30,0.14,-0.3,-0.22,-0.39
35,Woman,25 - 30,-0.47,-0.78,0.69,-0.56
36,Woman,25 - 30,-0.72,-1.31,0.01,-2.02
37,Woman,25 - 30,0.2,-0.57,-0.19,-0.55
38,Man,25 - 30,0.58,-1.87,-0.26,-1.55
39,Man,25 - 30,-0.62,1.92,0.05,1.35
40,Woman,25 - 30,0.14,0.37,-0.18,0.33
41,Woman,18 - 24,-0.42,1.27,-0.25,0.6
42,Woman,25 - 30,-0.07,-1.29,-0.49,-1.85
43,Man,25 - 30,0.18,-0.57,0.53,0.14
44,Man,51 - 60,0.64,3.67,-0.49,3.82
45,Man,31 - 40,-0.42,-1.04,0.44,-1.02
46,Woman,25 - 30,-0.01,-1.77,0.04,-1.74
47,Woman,25 - 30,-0.22,-2.08,-0.41,-2.71
48,Man,25 - 30,0.35,-1.71,-0.06,-1.43
49,Man,25 - 30,0.25,-1.77,-0.23,-1.74
50,Man,31 - 40,0.25,-0.32,-0.23,-0.29
51,Man,25 - 30,0.28,-1.98,-0.23,-1.92
52,Man,18 - 24,0.19,-1.77,-0.41,-1.99
53,Woman,25 - 30,-0.16,-0.98,0.49,-0.65
54,Woman,25 - 30,-0.16,0.05,-0.06,-0.17
55,Man,51 - 60,0.64,-0.78,0.4,0.27
