User,User_Gender,User_Age,Smoker_Type,N_Cigarette_Daily_Smoker,Transport_Means,N_x_Week_Use_Motor_Transport,KM_x_Week_Motor_Transport,M2_House,Heating_System,House_Temp,Fireplace,N_x_Year_Fireplace,N_Flights_x_Year,N_On-Line_Purchase_x_Month,N_Off-Line_Purchase_x_Month,Days_meatmeal_x_Week
1,Woman,18 - 24,Daily Smoker,1 to 5,Public transport,,,40,Traditional radiator heating,18-19,0,,6,1 to 5,6 to 10,3 to 4
2,Man,25 - 30,Daily Smoker,1 to 5,Motor car,3 to 4,51 to 100,120,Traditional floor heating,20-21,0,,8,1 to 5,1 to 5,7
3,Woman,18 - 24,Daily Smoker,1 to 5,Public transport,,,35,Traditional radiator heating,22-23,0,,4,1 to 5,1 to 5,3 to 4
4,Man,25 - 30,No smoker,,Motor car,8 to 14,101 to 200,105,Traditional radiator heating,18-19,0,,2,11 to 15,1 to 5,7
5,Man,18 - 24,Daily Smoker,6 to 10,Motor car,5 to 7,51 to 100,123,Traditional radiator heating,20-21,0,,2,1 to 5,1 to 5,7
6,Man,18 - 24,No smoker,,Public transport,,,160,Traditional radiator heating,20-21,0,,4,1 to 5,1 to 5,1 to 2
7,Woman,25 - 30,3 to 5 month,,Public transport,3 to 4,1 to 50,30,Traditional radiator heating,22-23,0,,10,6 to 10,1 to 5,3 to 4
8,Man,18 - 24,No smoker,,Motor car,8 to 14,1 to 50,150,Traditional radiator heating,18-19,1,1 to 20,2,1 to 5,1 to 5,7
9,Man,18 - 24,3 to 5 month,,Motor car,8 to 14,51 to 100,144,Traditional radiator heating,18-19,0,,4,1 to 5,6 to 10,3 to 4
10,Woman,51 - 60,No smoker,,Bicycle,1 to 2,1 to 50,100,Traditional radiator heating,18-19,0,,0,6 to 10,1 to 5,1 to 2
11,Man,25 - 30,3 to 5 week,,Motor car,5 to 7,1 to 50,110,Pellet stove,20-21,1,≥61,0,1 to 5,1 to 5,3 to 4
12,Man,18 - 24,No smoker,,Motor car,≥15,101 to 200,300,Traditional radiator heating,22-23,1,≥61,2,6 to 10,11 to 15,7
13,Man,31 - 40,No smoker,,Motor car,8 to 14,201 to 500,60,Traditional radiator heating,18-19,0,,2,11 to 15,6 to 10,3 to 4
14,Woman,18 - 24,No smoker,,Motor car,5 to 7,1 to 50,120,Traditional radiator heating,20-21,1,1 to 20,4,1 to 5,1 to 5,1 to 2
15,Woman,51 - 60,No smoker,,Motor car,5 to 7,51 to 100,160,Traditional radiator heating,18-19,1,1 to 20,2,1 to 5,1 to 5,1 to 2
16,Man,25 - 30,Daily Smoker,6 to 10,Motor car,≥15,101 to 200,123,Traditional radiator heating,20-21,1,1 to 20,2,1 to 5,6 to 10,3 to 4
17,Woman,51 - 60,No smoker,,Motor car,8 to 14,101 to 200,120,Traditional floor heating,20-21,0,,4,1 to 5,6 to 10,3 to 4
18,Woman,41 - 50,No smoker,,Motor car,≥15,201 to 500,140,Traditional radiator heating,20-21,1,1 to 20,2,1 to 5,6 to 10,3 to 4
